epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1094,1.79147,3.71042,0.00604,0.02393,0.2364,0.08822,0.04596,1.57146,3.78969,0.006,0.00015003,0.00015003,0.00015003
2,39.6096,1.70305,3.78184,0.00713,0.02797,0.29289,0.13805,0.08474,1.52336,3.7814,0.00578,0.000306931,0.000306931,0.000306931
3,57.746,1.86616,3.11843,0.00645,0.03207,0.32427,0.1548,0.08694,1.58438,3.69916,0.00601,0.000453518,0.000453518,0.000453518
4,76.1445,1.78256,2.63966,0.00599,0.03973,0.36402,0.14699,0.08209,1.60363,3.54596,0.00619,0.00058979,0.00058979,0.00058979
5,90.4801,1.65173,2.58643,0.00655,0.05456,0.47071,0.15206,0.0852,1.62096,3.22971,0.00658,0.000715747,0.000715747,0.000715747
6,105.91,1.95532,2.2092,0.00577,0.06592,0.65063,0.26815,0.13017,1.82704,2.84873,0.00725,0.00083139,0.00083139,0.00083139
7,120.826,1.81253,2.23792,0.00568,0.37955,0.32427,0.28889,0.14723,1.75054,2.73429,0.00704,0.000936719,0.000936719,0.000936719
8,136.248,1.74794,2.28067,0.00685,0.48398,0.29498,0.35754,0.19173,1.65116,2.51184,0.00676,0.00103173,0.00103173,0.00103173
9,151.057,1.72064,2.28329,0.00643,0.43944,0.3682,0.36927,0.18821,1.59435,2.40321,0.00649,0.00111643,0.00111643,0.00111643
10,165.955,1.81983,3.18309,0.0092,0.40609,0.37866,0.36125,0.17645,1.6727,2.3352,0.00682,0.00119082,0.00119082,0.00119082
11,181.558,1.79396,2.20575,0.00763,0.41223,0.38075,0.38038,0.18711,1.65654,2.34848,0.00675,0.00115127,0.00115127,0.00115127
12,196.362,1.7507,2.09315,0.00621,0.39903,0.35774,0.35019,0.16131,1.73278,2.31784,0.00683,0.0010997,0.0010997,0.0010997
13,210.915,1.57912,2.49622,0.00539,0.39895,0.34937,0.34221,0.15606,1.72219,2.26863,0.00658,0.00104813,0.00104813,0.00104813
14,226.267,1.71932,2.15161,0.00573,0.44209,0.41423,0.41027,0.20111,1.732,2.16944,0.00697,0.000996553,0.000996553,0.000996553
15,241.513,1.67251,2.0143,0.0059,0.46928,0.42678,0.41623,0.20794,1.78597,2.16585,0.00746,0.000944981,0.000944981,0.000944981
16,255.958,1.49111,2.44129,0.00649,0.48117,0.43933,0.43433,0.22486,1.7615,2.11687,0.00743,0.000893408,0.000893408,0.000893408
17,271.826,1.75653,1.9454,0.00532,0.48516,0.44979,0.45362,0.24273,1.7,2.04429,0.00708,0.000841835,0.000841835,0.000841835
18,287.555,1.58805,2.0454,0.00581,0.53953,0.4829,0.48745,0.26877,1.65782,1.99859,0.00645,0.000790262,0.000790262,0.000790262
19,304.481,1.6131,2.12705,0.00543,0.55038,0.48326,0.49973,0.27606,1.65136,1.96757,0.00632,0.000738689,0.000738689,0.000738689
20,320.739,1.57469,1.83359,0.006,0.53487,0.47699,0.49867,0.27819,1.66141,1.93061,0.0064,0.000687117,0.000687117,0.000687117
21,339.402,1.6634,1.88727,0.00562,0.5069,0.48388,0.5015,0.2801,1.64923,1.92884,0.00633,0.000635544,0.000635544,0.000635544
22,357.476,1.66106,1.80946,0.00516,0.51952,0.49163,0.50049,0.28437,1.63557,1.94138,0.0064,0.000583971,0.000583971,0.000583971
23,374.602,1.67015,2.52247,0.00694,0.52825,0.49663,0.50649,0.28287,1.64738,1.94804,0.00644,0.000532398,0.000532398,0.000532398
24,392.072,1.50263,2.94747,0.00824,0.53442,0.50837,0.51502,0.28385,1.66033,1.92036,0.00643,0.000480825,0.000480825,0.000480825
25,406.24,1.45326,2.9583,0.00537,0.54641,0.49143,0.52093,0.28446,1.64894,1.90153,0.00637,0.000429253,0.000429253,0.000429253
26,419.371,1.5334,1.94986,0.0059,0.53556,0.48954,0.52808,0.28706,1.60824,1.918,0.00613,0.00037768,0.00037768,0.00037768
27,432.359,1.50838,2.00714,0.0053,0.54228,0.49076,0.52747,0.28928,1.61295,1.91948,0.00615,0.000326107,0.000326107,0.000326107
28,444.997,1.51015,2.06757,0.00549,0.55169,0.45816,0.52438,0.29085,1.6076,1.92885,0.00618,0.000274534,0.000274534,0.000274534
29,457.744,1.53224,2.07998,0.00542,0.56142,0.46025,0.52776,0.29171,1.60887,1.92811,0.00619,0.000222961,0.000222961,0.000222961
30,470.919,1.53231,2.03666,0.00547,0.57275,0.45816,0.52741,0.29205,1.57881,1.92198,0.00608,0.000171388,0.000171388,0.000171388
31,483.911,1.53448,1.99845,0.00584,0.57176,0.45607,0.52319,0.29076,1.57468,1.91657,0.00609,0.000119816,0.000119816,0.000119816
32,497.035,1.50212,2.06328,0.00557,0.57144,0.45749,0.52783,0.29487,1.57684,1.90634,0.00607,6.82428e-05,6.82428e-05,6.82428e-05
